location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31027
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,90
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115743
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,304
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213155
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4191
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257849
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5878
Austria,2021-02-05,Oxford/AstraZeneca,2
Austria,2021-02-05,Pfizer/BioNTech,353360
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9957
Austria,2021-02-12,Oxford/AstraZeneca,10777
Austria,2021-02-12,Pfizer/BioNTech,454803
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14078
Austria,2021-02-19,Oxford/AstraZeneca,43534
Austria,2021-02-19,Pfizer/BioNTech,520445
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22391
Austria,2021-02-26,Oxford/AstraZeneca,101300
Austria,2021-02-26,Pfizer/BioNTech,581543
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31681
Austria,2021-03-05,Oxford/AstraZeneca,156114
Austria,2021-03-05,Pfizer/BioNTech,685859
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,47016
Austria,2021-03-12,Oxford/AstraZeneca,234704
Austria,2021-03-12,Pfizer/BioNTech,848489
Austria,2021-03-19,Johnson&Johnson,14
Austria,2021-03-19,Moderna,78763
Austria,2021-03-19,Oxford/AstraZeneca,307910
Austria,2021-03-19,Pfizer/BioNTech,980878
Austria,2021-03-26,Johnson&Johnson,26
Austria,2021-03-26,Moderna,104121
Austria,2021-03-26,Oxford/AstraZeneca,383180
Austria,2021-03-26,Pfizer/BioNTech,1126800
Austria,2021-04-02,Johnson&Johnson,43
Austria,2021-04-02,Moderna,140410
Austria,2021-04-02,Oxford/AstraZeneca,421713
Austria,2021-04-02,Pfizer/BioNTech,1274581
Austria,2021-04-09,Johnson&Johnson,80
Austria,2021-04-09,Moderna,179879
Austria,2021-04-09,Oxford/AstraZeneca,512027
Austria,2021-04-09,Pfizer/BioNTech,1495340
Austria,2021-04-16,Johnson&Johnson,86
Austria,2021-04-16,Moderna,222302
Austria,2021-04-16,Oxford/AstraZeneca,607864
Austria,2021-04-16,Pfizer/BioNTech,1728563
Austria,2021-04-23,Johnson&Johnson,91
Austria,2021-04-23,Moderna,259570
Austria,2021-04-23,Oxford/AstraZeneca,656770
Austria,2021-04-23,Pfizer/BioNTech,1991613
Austria,2021-04-30,Johnson&Johnson,348
Austria,2021-04-30,Moderna,298453
Austria,2021-04-30,Oxford/AstraZeneca,699193
Austria,2021-04-30,Pfizer/BioNTech,2264530
Austria,2021-05-07,Johnson&Johnson,6463
Austria,2021-05-07,Moderna,347623
Austria,2021-05-07,Oxford/AstraZeneca,762135
Austria,2021-05-07,Pfizer/BioNTech,2594290
Austria,2021-05-14,Johnson&Johnson,13442
Austria,2021-05-14,Moderna,397376
Austria,2021-05-14,Oxford/AstraZeneca,826241
Austria,2021-05-14,Pfizer/BioNTech,2893115
Austria,2021-05-21,Johnson&Johnson,25679
Austria,2021-05-21,Moderna,465205
Austria,2021-05-21,Oxford/AstraZeneca,903874
Austria,2021-05-21,Pfizer/BioNTech,3269959
Austria,2021-05-28,Johnson&Johnson,37815
Austria,2021-05-28,Moderna,518669
Austria,2021-05-28,Oxford/AstraZeneca,986611
Austria,2021-05-28,Pfizer/BioNTech,3604240
Austria,2021-06-04,Johnson&Johnson,57823
Austria,2021-06-04,Moderna,573859
Austria,2021-06-04,Oxford/AstraZeneca,1055079
Austria,2021-06-04,Pfizer/BioNTech,4028495
Austria,2021-06-11,Johnson&Johnson,79379
Austria,2021-06-11,Moderna,636619
Austria,2021-06-11,Oxford/AstraZeneca,1150241
Austria,2021-06-11,Pfizer/BioNTech,4465752
Austria,2021-06-18,Johnson&Johnson,94260
Austria,2021-06-18,Moderna,686098
Austria,2021-06-18,Oxford/AstraZeneca,1202549
Austria,2021-06-18,Pfizer/BioNTech,4919037
Austria,2021-06-25,Johnson&Johnson,102758
Austria,2021-06-25,Moderna,741651
Austria,2021-06-25,Oxford/AstraZeneca,1276319
Austria,2021-06-25,Pfizer/BioNTech,5362300
Austria,2021-07-02,Johnson&Johnson,128045
Austria,2021-07-02,Moderna,801498
Austria,2021-07-02,Oxford/AstraZeneca,1383966
Austria,2021-07-02,Pfizer/BioNTech,5751804
Austria,2021-07-09,Johnson&Johnson,151943
Austria,2021-07-09,Moderna,851629
Austria,2021-07-09,Oxford/AstraZeneca,1451599
Austria,2021-07-09,Pfizer/BioNTech,6077097
Austria,2021-07-16,Johnson&Johnson,171077
Austria,2021-07-16,Moderna,895846
Austria,2021-07-16,Oxford/AstraZeneca,1503112
Austria,2021-07-16,Pfizer/BioNTech,6347187
Austria,2021-07-23,Johnson&Johnson,187342
Austria,2021-07-23,Moderna,942036
Austria,2021-07-23,Oxford/AstraZeneca,1532757
Austria,2021-07-23,Pfizer/BioNTech,6593033
Austria,2021-07-30,Johnson&Johnson,199089
Austria,2021-07-30,Moderna,960671
Austria,2021-07-30,Oxford/AstraZeneca,1559124
Austria,2021-07-30,Pfizer/BioNTech,6800428
Austria,2021-08-06,Johnson&Johnson,213693
Austria,2021-08-06,Moderna,978209
Austria,2021-08-06,Oxford/AstraZeneca,1574492
Austria,2021-08-06,Pfizer/BioNTech,6974147
Austria,2021-08-13,Johnson&Johnson,218900
Austria,2021-08-13,Moderna,984997
Austria,2021-08-13,Oxford/AstraZeneca,1578707
Austria,2021-08-13,Pfizer/BioNTech,7057351
Belgium,2021-01-08,Pfizer/BioNTech,27903
Belgium,2021-01-15,Moderna,25
Belgium,2021-01-15,Pfizer/BioNTech,126532
Belgium,2021-01-22,Moderna,4475
Belgium,2021-01-22,Pfizer/BioNTech,244087
Belgium,2021-01-29,Moderna,6160
Belgium,2021-01-29,Pfizer/BioNTech,333554
Belgium,2021-02-05,Moderna,15859
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,462250
Belgium,2021-02-12,Moderna,25386
Belgium,2021-02-12,Oxford/AstraZeneca,339
Belgium,2021-02-12,Pfizer/BioNTech,597424
Belgium,2021-02-19,Moderna,30162
Belgium,2021-02-19,Oxford/AstraZeneca,10667
Belgium,2021-02-19,Pfizer/BioNTech,697824
Belgium,2021-02-26,Moderna,32600
Belgium,2021-02-26,Oxford/AstraZeneca,45105
Belgium,2021-02-26,Pfizer/BioNTech,786124
Belgium,2021-03-05,Moderna,51345
Belgium,2021-03-05,Oxford/AstraZeneca,109703
Belgium,2021-03-05,Pfizer/BioNTech,874776
Belgium,2021-03-12,Moderna,67187
Belgium,2021-03-12,Oxford/AstraZeneca,190626
Belgium,2021-03-12,Pfizer/BioNTech,970877
Belgium,2021-03-19,Moderna,89603
Belgium,2021-03-19,Oxford/AstraZeneca,350221
Belgium,2021-03-19,Pfizer/BioNTech,1080943
Belgium,2021-03-26,Moderna,99857
Belgium,2021-03-26,Oxford/AstraZeneca,460678
Belgium,2021-03-26,Pfizer/BioNTech,1277086
Belgium,2021-04-02,Moderna,127575
Belgium,2021-04-02,Oxford/AstraZeneca,520523
Belgium,2021-04-02,Pfizer/BioNTech,1535330
Belgium,2021-04-09,Moderna,174670
Belgium,2021-04-09,Oxford/AstraZeneca,599975
Belgium,2021-04-09,Pfizer/BioNTech,1853148
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,209135
Belgium,2021-04-16,Oxford/AstraZeneca,780718
Belgium,2021-04-16,Pfizer/BioNTech,2130117
Belgium,2021-04-23,Moderna,260363
Belgium,2021-04-23,Oxford/AstraZeneca,837531
Belgium,2021-04-23,Pfizer/BioNTech,2446753
Belgium,2021-04-30,Johnson&Johnson,2955
Belgium,2021-04-30,Moderna,287320
Belgium,2021-04-30,Oxford/AstraZeneca,902870
Belgium,2021-04-30,Pfizer/BioNTech,2802180
Belgium,2021-05-07,Johnson&Johnson,23768
Belgium,2021-05-07,Moderna,345016
Belgium,2021-05-07,Oxford/AstraZeneca,1005430
Belgium,2021-05-07,Pfizer/BioNTech,3353747
Belgium,2021-05-14,Johnson&Johnson,29428
Belgium,2021-05-14,Moderna,399387
Belgium,2021-05-14,Oxford/AstraZeneca,1098272
Belgium,2021-05-14,Pfizer/BioNTech,3804819
Belgium,2021-05-21,Johnson&Johnson,49756
Belgium,2021-05-21,Moderna,501063
Belgium,2021-05-21,Oxford/AstraZeneca,1364943
Belgium,2021-05-21,Pfizer/BioNTech,4173366
Belgium,2021-05-28,Johnson&Johnson,73410
Belgium,2021-05-28,Moderna,575338
Belgium,2021-05-28,Oxford/AstraZeneca,1464638
Belgium,2021-05-28,Pfizer/BioNTech,4614812
Belgium,2021-06-04,Johnson&Johnson,97143
Belgium,2021-06-04,Moderna,651494
Belgium,2021-06-04,Oxford/AstraZeneca,1567798
Belgium,2021-06-04,Pfizer/BioNTech,5312914
Belgium,2021-06-11,Johnson&Johnson,143126
Belgium,2021-06-11,Moderna,737718
Belgium,2021-06-11,Oxford/AstraZeneca,1754592
Belgium,2021-06-11,Pfizer/BioNTech,6065716
Belgium,2021-06-18,Johnson&Johnson,212415
Belgium,2021-06-18,Moderna,843917
Belgium,2021-06-18,Oxford/AstraZeneca,1889326
Belgium,2021-06-18,Pfizer/BioNTech,6777819
Belgium,2021-06-25,Johnson&Johnson,243259
Belgium,2021-06-25,Moderna,956383
Belgium,2021-06-25,Oxford/AstraZeneca,1958277
Belgium,2021-06-25,Pfizer/BioNTech,7436879
Belgium,2021-07-02,Johnson&Johnson,266618
Belgium,2021-07-02,Moderna,1039818
Belgium,2021-07-02,Oxford/AstraZeneca,2057971
Belgium,2021-07-02,Pfizer/BioNTech,7904507
Belgium,2021-07-09,Johnson&Johnson,281559
Belgium,2021-07-09,Moderna,1101258
Belgium,2021-07-09,Oxford/AstraZeneca,2284868
Belgium,2021-07-09,Pfizer/BioNTech,8437392
Belgium,2021-07-16,Johnson&Johnson,299335
Belgium,2021-07-16,Moderna,1155845
Belgium,2021-07-16,Oxford/AstraZeneca,2439131
Belgium,2021-07-16,Pfizer/BioNTech,8943322
Belgium,2021-07-23,Johnson&Johnson,309712
Belgium,2021-07-23,Moderna,1209269
Belgium,2021-07-23,Oxford/AstraZeneca,2545252
Belgium,2021-07-23,Pfizer/BioNTech,9494364
Belgium,2021-07-30,Johnson&Johnson,318542
Belgium,2021-07-30,Moderna,1240072
Belgium,2021-07-30,Oxford/AstraZeneca,2636486
Belgium,2021-07-30,Pfizer/BioNTech,10001907
Belgium,2021-08-06,Johnson&Johnson,326520
Belgium,2021-08-06,Moderna,1263395
Belgium,2021-08-06,Oxford/AstraZeneca,2696312
Belgium,2021-08-06,Pfizer/BioNTech,10358708
Belgium,2021-08-13,Johnson&Johnson,329817
Belgium,2021-08-13,Moderna,1273296
Belgium,2021-08-13,Oxford/AstraZeneca,2776844
Belgium,2021-08-13,Pfizer/BioNTech,10414884
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,39994
Bulgaria,2021-07-02,Moderna,234047
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927
Bulgaria,2021-07-09,Johnson&Johnson,48424
Bulgaria,2021-07-09,Moderna,241862
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383
Bulgaria,2021-07-16,Johnson&Johnson,58430
Bulgaria,2021-07-16,Moderna,247955
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926
Bulgaria,2021-07-23,Johnson&Johnson,68108
Bulgaria,2021-07-23,Moderna,252761
Bulgaria,2021-07-23,Oxford/AstraZeneca,475720
Bulgaria,2021-07-23,Pfizer/BioNTech,1167720
Bulgaria,2021-07-30,Johnson&Johnson,78440
Bulgaria,2021-07-30,Moderna,258066
Bulgaria,2021-07-30,Oxford/AstraZeneca,476371
Bulgaria,2021-07-30,Pfizer/BioNTech,1212406
Bulgaria,2021-08-06,Johnson&Johnson,89960
Bulgaria,2021-08-06,Moderna,263844
Bulgaria,2021-08-06,Oxford/AstraZeneca,476700
Bulgaria,2021-08-06,Pfizer/BioNTech,1256750
Bulgaria,2021-08-13,Johnson&Johnson,96616
Bulgaria,2021-08-13,Moderna,263844
Bulgaria,2021-08-13,Oxford/AstraZeneca,476700
Bulgaria,2021-08-13,Pfizer/BioNTech,1256750
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5201
Chile,2020-12-26,Pfizer/BioNTech,8344
Chile,2020-12-27,Pfizer/BioNTech,8655
Chile,2020-12-28,Pfizer/BioNTech,8655
Chile,2020-12-29,Pfizer/BioNTech,8655
Chile,2020-12-30,Pfizer/BioNTech,8655
Chile,2020-12-31,Pfizer/BioNTech,8655
Chile,2021-01-01,Pfizer/BioNTech,8655
Chile,2021-01-02,Pfizer/BioNTech,8655
Chile,2021-01-03,Pfizer/BioNTech,8655
Chile,2021-01-04,Pfizer/BioNTech,9060
Chile,2021-01-05,Pfizer/BioNTech,10503
Chile,2021-01-06,Pfizer/BioNTech,10708
Chile,2021-01-07,Pfizer/BioNTech,10708
Chile,2021-01-08,Pfizer/BioNTech,10708
Chile,2021-01-09,Pfizer/BioNTech,10708
Chile,2021-01-10,Pfizer/BioNTech,10708
Chile,2021-01-11,Pfizer/BioNTech,10708
Chile,2021-01-12,Pfizer/BioNTech,10708
Chile,2021-01-13,Pfizer/BioNTech,11741
Chile,2021-01-14,Pfizer/BioNTech,18657
Chile,2021-01-15,Pfizer/BioNTech,22088
Chile,2021-01-16,Pfizer/BioNTech,22178
Chile,2021-01-17,Pfizer/BioNTech,22178
Chile,2021-01-18,Pfizer/BioNTech,33229
Chile,2021-01-19,Pfizer/BioNTech,52590
Chile,2021-01-20,Pfizer/BioNTech,61899
Chile,2021-01-21,Pfizer/BioNTech,64956
Chile,2021-01-22,Pfizer/BioNTech,65372
Chile,2021-01-23,Pfizer/BioNTech,65372
Chile,2021-01-24,Pfizer/BioNTech,65372
Chile,2021-01-25,Pfizer/BioNTech,66792
Chile,2021-01-26,Pfizer/BioNTech,67408
Chile,2021-01-27,Pfizer/BioNTech,67443
Chile,2021-01-28,Pfizer/BioNTech,67443
Chile,2021-01-29,Pfizer/BioNTech,67448
Chile,2021-01-30,Pfizer/BioNTech,67449
Chile,2021-01-31,Pfizer/BioNTech,67449
Chile,2021-02-01,Pfizer/BioNTech,67449
Chile,2021-02-02,Pfizer/BioNTech,67455
Chile,2021-02-02,Sinovac,13183
Chile,2021-02-03,Pfizer/BioNTech,67455
Chile,2021-02-03,Sinovac,183553
Chile,2021-02-04,Pfizer/BioNTech,69583
Chile,2021-02-04,Sinovac,357558
Chile,2021-02-05,Pfizer/BioNTech,70271
Chile,2021-02-05,Sinovac,526292
Chile,2021-02-06,Pfizer/BioNTech,70276
Chile,2021-02-06,Sinovac,554142
Chile,2021-02-07,Pfizer/BioNTech,70278
Chile,2021-02-07,Sinovac,562779
Chile,2021-02-08,Pfizer/BioNTech,82077
Chile,2021-02-08,Sinovac,784247
Chile,2021-02-09,Pfizer/BioNTech,101556
Chile,2021-02-09,Sinovac,1026627
Chile,2021-02-10,Pfizer/BioNTech,110000
Chile,2021-02-10,Sinovac,1298952
Chile,2021-02-11,Pfizer/BioNTech,113074
Chile,2021-02-11,Sinovac,1550128
Chile,2021-02-12,Pfizer/BioNTech,113434
Chile,2021-02-12,Sinovac,1779230
Chile,2021-02-13,Pfizer/BioNTech,113467
Chile,2021-02-13,Sinovac,1808753
Chile,2021-02-14,Pfizer/BioNTech,113467
Chile,2021-02-14,Sinovac,1813220
Chile,2021-02-15,Pfizer/BioNTech,113468
Chile,2021-02-15,Sinovac,2079089
Chile,2021-02-16,Pfizer/BioNTech,113480
Chile,2021-02-16,Sinovac,2299127
Chile,2021-02-17,Pfizer/BioNTech,113480
Chile,2021-02-17,Sinovac,2487168
Chile,2021-02-18,Pfizer/BioNTech,113483
Chile,2021-02-18,Sinovac,2642429
Chile,2021-02-19,Pfizer/BioNTech,113483
Chile,2021-02-19,Sinovac,2784554
Chile,2021-02-20,Pfizer/BioNTech,113485
Chile,2021-02-20,Sinovac,2794194
Chile,2021-02-21,Pfizer/BioNTech,113485
Chile,2021-02-21,Sinovac,2795356
Chile,2021-02-22,Pfizer/BioNTech,125574
Chile,2021-02-22,Sinovac,2891393
Chile,2021-02-23,Pfizer/BioNTech,150418
Chile,2021-02-23,Sinovac,2960788
Chile,2021-02-24,Pfizer/BioNTech,178938
Chile,2021-02-24,Sinovac,3018543
Chile,2021-02-25,Pfizer/BioNTech,212655
Chile,2021-02-25,Sinovac,3070905
Chile,2021-02-26,Pfizer/BioNTech,242387
Chile,2021-02-26,Sinovac,3119566
Chile,2021-02-27,Pfizer/BioNTech,248712
Chile,2021-02-27,Sinovac,3123288
Chile,2021-02-28,Pfizer/BioNTech,248714
Chile,2021-02-28,Sinovac,3123641
Chile,2021-03-01,Pfizer/BioNTech,263619
Chile,2021-03-01,Sinovac,3246298
Chile,2021-03-02,Pfizer/BioNTech,294542
Chile,2021-03-02,Sinovac,3386752
Chile,2021-03-03,Pfizer/BioNTech,313110
Chile,2021-03-03,Sinovac,3680110
Chile,2021-03-04,Pfizer/BioNTech,322220
Chile,2021-03-04,Sinovac,3981579
Chile,2021-03-05,Pfizer/BioNTech,327977
Chile,2021-03-05,Sinovac,4273685
Chile,2021-03-06,Pfizer/BioNTech,328321
Chile,2021-03-06,Sinovac,4307122
Chile,2021-03-07,Pfizer/BioNTech,328427
Chile,2021-03-07,Sinovac,4314980
Chile,2021-03-08,Pfizer/BioNTech,341029
Chile,2021-03-08,Sinovac,4653021
Chile,2021-03-09,Pfizer/BioNTech,378611
Chile,2021-03-09,Sinovac,4991993
Chile,2021-03-10,Pfizer/BioNTech,420223
Chile,2021-03-10,Sinovac,5351756
Chile,2021-03-11,Pfizer/BioNTech,465966
Chile,2021-03-11,Sinovac,5723081
Chile,2021-03-12,Pfizer/BioNTech,483378
Chile,2021-03-12,Sinovac,6080031
Chile,2021-03-13,Pfizer/BioNTech,483931
Chile,2021-03-13,Sinovac,6129934
Chile,2021-03-14,Pfizer/BioNTech,483931
Chile,2021-03-14,Sinovac,6136518
Chile,2021-03-15,Pfizer/BioNTech,507849
Chile,2021-03-15,Sinovac,6542913
Chile,2021-03-16,Pfizer/BioNTech,561397
Chile,2021-03-16,Sinovac,6899649
Chile,2021-03-17,Pfizer/BioNTech,616938
Chile,2021-03-17,Sinovac,7211434
Chile,2021-03-18,Pfizer/BioNTech,666539
Chile,2021-03-18,Sinovac,7496809
Chile,2021-03-19,Pfizer/BioNTech,689711
Chile,2021-03-19,Sinovac,7768167
Chile,2021-03-20,Pfizer/BioNTech,691631
Chile,2021-03-20,Sinovac,7800443
Chile,2021-03-21,Pfizer/BioNTech,691641
Chile,2021-03-21,Sinovac,7804456
Chile,2021-03-22,Pfizer/BioNTech,727734
Chile,2021-03-22,Sinovac,8037128
Chile,2021-03-23,Pfizer/BioNTech,787662
Chile,2021-03-23,Sinovac,8218087
Chile,2021-03-24,Pfizer/BioNTech,840567
Chile,2021-03-24,Sinovac,8384273
Chile,2021-03-25,Pfizer/BioNTech,895166
Chile,2021-03-25,Sinovac,8542372
Chile,2021-03-26,Pfizer/BioNTech,933606
Chile,2021-03-26,Sinovac,8721626
Chile,2021-03-27,Pfizer/BioNTech,935641
Chile,2021-03-27,Sinovac,8735283
Chile,2021-03-28,Pfizer/BioNTech,935641
Chile,2021-03-28,Sinovac,8736675
Chile,2021-03-29,Pfizer/BioNTech,957689
Chile,2021-03-29,Sinovac,8981394
Chile,2021-03-30,Pfizer/BioNTech,1015188
Chile,2021-03-30,Sinovac,9202581
Chile,2021-03-31,Pfizer/BioNTech,1061366
Chile,2021-03-31,Sinovac,9436738
Chile,2021-04-01,Pfizer/BioNTech,1085157
Chile,2021-04-01,Sinovac,9716291
Chile,2021-04-02,Pfizer/BioNTech,1085382
Chile,2021-04-02,Sinovac,9723103
Chile,2021-04-03,Pfizer/BioNTech,1085575
Chile,2021-04-03,Sinovac,9726136
Chile,2021-04-04,Pfizer/BioNTech,1085578
Chile,2021-04-04,Sinovac,9727254
Chile,2021-04-05,Pfizer/BioNTech,1116737
Chile,2021-04-05,Sinovac,9980913
Chile,2021-04-06,Pfizer/BioNTech,1199541
Chile,2021-04-06,Sinovac,10137932
Chile,2021-04-07,Pfizer/BioNTech,1288841
Chile,2021-04-07,Sinovac,10281950
Chile,2021-04-08,Pfizer/BioNTech,1367121
Chile,2021-04-08,Sinovac,10443234
Chile,2021-04-09,Pfizer/BioNTech,1416379
Chile,2021-04-09,Sinovac,10612940
Chile,2021-04-10,Pfizer/BioNTech,1424209
Chile,2021-04-10,Sinovac,10631140
Chile,2021-04-11,Pfizer/BioNTech,1424715
Chile,2021-04-11,Sinovac,10633087
Chile,2021-04-12,Pfizer/BioNTech,1489508
Chile,2021-04-12,Sinovac,10805312
Chile,2021-04-13,Pfizer/BioNTech,1577743
Chile,2021-04-13,Sinovac,10952419
Chile,2021-04-14,Pfizer/BioNTech,1667278
Chile,2021-04-14,Sinovac,11092406
Chile,2021-04-15,Pfizer/BioNTech,1735307
Chile,2021-04-15,Sinovac,11231568
Chile,2021-04-16,Pfizer/BioNTech,1786063
Chile,2021-04-16,Sinovac,11375022
Chile,2021-04-17,Pfizer/BioNTech,1791990
Chile,2021-04-17,Sinovac,11391382
Chile,2021-04-18,Pfizer/BioNTech,1792667
Chile,2021-04-18,Sinovac,11393343
Chile,2021-04-19,Pfizer/BioNTech,1816732
Chile,2021-04-19,Sinovac,11564234
Chile,2021-04-20,Pfizer/BioNTech,1861206
Chile,2021-04-20,Sinovac,11709095
Chile,2021-04-21,Pfizer/BioNTech,1907275
Chile,2021-04-21,Sinovac,11840622
Chile,2021-04-22,Pfizer/BioNTech,1954395
Chile,2021-04-22,Sinovac,11994219
Chile,2021-04-23,Pfizer/BioNTech,1983381
Chile,2021-04-23,Sinovac,12148860
Chile,2021-04-24,Pfizer/BioNTech,1985778
Chile,2021-04-24,Sinovac,12164146
Chile,2021-04-25,Pfizer/BioNTech,1985779
Chile,2021-04-25,Sinovac,12165186
Chile,2021-04-26,Pfizer/BioNTech,2031153
Chile,2021-04-26,Sinovac,12316510
Chile,2021-04-27,Pfizer/BioNTech,2095039
Chile,2021-04-27,Sinovac,12424164
Chile,2021-04-28,Oxford/AstraZeneca,3607
Chile,2021-04-28,Pfizer/BioNTech,2149917
Chile,2021-04-28,Sinovac,12534813
Chile,2021-04-29,Oxford/AstraZeneca,10150
Chile,2021-04-29,Pfizer/BioNTech,2182486
