Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
01/01/2022,Chhattisgarh,29919317,1459199,2289,17634848,12284469,14852485,15062981,3851,3143439,26766290,9588,822,17436936,8271429,4210952,0,0,0,0,0,0
01/01/2022,Rajasthan,81857782,3544621,6192,46634303,35223479,41810656,40029732,17394,8722750,73117319,17713,843,49202317,18856005,13799460,0,0,0,0,0,0
01/01/2022,Haryana,34557496,2514538,2122,20093293,14464203,18834849,15715440,7207,4581354,29896680,79462,1254,22064727,7399519,5093250,0,0,0,0,0,0
01/01/2022,Andaman and Nicobar Islands,593429,2092,21,299647,293782,317102,276230,97,0,593429,0,12,363861,155565,74003,0,0,0,0,0,0
01/01/2022,Jammu and Kashmir,18682641,962890,1497,9685212,8997429,10323227,8355918,3496,1119262,17563379,0,278,11332855,4751524,2598262,0,0,0,0,0,0
01/01/2022,Gujarat,89599714,1347464,3482,46900027,42699687,48901109,40682707,15898,8861115,80707310,31289,2117,54405493,22268617,12925604,0,0,0,0,0,0
01/01/2022,Meghalaya,2118666,615,3,1233760,884906,1098780,1019601,285,0,2118666,0,318,1458439,478002,182225,0,0,0,0,0,0
01/01/2022,Chhattisgarh,29919317,1459199,2289,17634848,12284469,14852485,15062981,3851,3143439,26766290,9588,822,17436936,8271429,4210952,0,0,0,0,0,0
01/01/2022,Sikkim,1008874,60,1,524902,483972,553242,455264,368,0,1008874,0,308,684324,209804,114746,0,0,0,0,0,0
01/01/2022,West Bengal,105003375,1172904,1779,64647867,40355508,51856723,53127743,18909,10627476,94292852,83047,4238,60298212,28376208,16328955,0,0,0,0,0,0
01/01/2022,Mizoram,1333253,30,1,746547,586706,670282,662709,262,0,1333253,0,1222,846899,306229,180125,0,0,0,0,0,0
01/01/2022,Chandigarh,1747781,24712,52,991485,756296,993352,754158,271,5541,1742240,0,178,1149923,395919,201939,0,0,0,0,0,0
01/01/2022,Uttarakhand,14187071,329354,659,7784991,6402080,7241651,6939641,5779,926618,13256543,3910,535,8923008,3105086,2158977,0,0,0,0,0,0
01/01/2022,Bihar,100180761,4867354,5142,57827831,42352930,49032985,51124071,23705,9125206,91043634,11921,420,62826051,21610581,15744129,0,0,0,0,0,0
01/01/2022,Tamil Nadu,83258886,2526481,1888,49800918,33457968,40371652,42870667,16567,10101447,73063949,93490,816,48712857,21874723,12671306,0,0,0,0,0,0
01/01/2022,Assam,37666268,1399788,2180,21735536,15930732,18613510,19047322,5436,3495495,34168392,2381,314,24233441,9273595,4159232,0,0,0,0,0,0
01/01/2022,Madhya Pradesh,102443336,1594027,2762,52104815,50338521,53400971,49019958,22407,10586543,91834934,21859,2712,66363379,22951907,13128050,0,0,0,0,0,0
01/01/2022,Assam,37666268,1399788,2180,21735536,15930732,18613510,19047322,5436,3495495,34168392,2381,314,24233441,9273595,4159232,0,0,0,0,0,0
01/01/2022,Uttar Pradesh,202203439,13317759,14193,128330467,73872972,104316956,97802092,84391,22370485,179781588,51366,2128,128689930,47157420,26356089,0,0,0,0,0,0
01/01/2022,Ladakh,389721,1140,5,213891,175830,224020,165655,46,0,389721,0,19,248886,80114,60721,0,0,0,0,0,0
01/01/2022,Dadra and Nagar Haveli and Daman and Diu,1222421,33800,58,697795,524626,823447,398721,253,60,1222361,0,0,137,960476,200497,0,0,0,0,0,0
01/01/2022,Arunachal Pradesh,1455881,750,6,805342,650539,801262,654294,325,0,1455881,0,295,993675,335829,126377,0,0,0,0,0,0
01/01/2022,Nagaland,1332741,700,3,757767,574974,745611,586920,210,0,1326257,6484,69,903985,291741,137015,0,0,0,0,0,0
01/01/2022,Andhra Pradesh,69660141,2075816,1732,39700011,29960130,33158898,36487719,13524,9778158,59818636,63347,792,36575737,22091027,10993377,0,0,0,0,0,0
01/01/2022,Sikkim,1008874,60,1,524902,483972,553242,455264,368,0,1008874,0,308,684324,209804,114746,0,0,0,0,0,0
01/01/2022,Himachal Pradesh,11363392,33172,200,5861522,5501870,5845996,5514786,2610,3842,11356576,2974,795,6522609,2874633,1966150,0,0,0,0,0,0
01/01/2022,Karnataka,86425460,4739108,4893,47664722,38760738,43448411,42961943,15106,10077614,76237887,109959,4013,51478883,21561101,13385476,0,0,0,0,0,0
01/01/2022,Bihar,100180761,4867354,5142,57827831,42352930,49032985,51124071,23705,9125206,91043634,11921,420,62826051,21610581,15744129,0,0,0,0,0,0
01/01/2022,Punjab,26469342,661632,827,17133281,9336061,14231957,12233897,3488,2783288,23671530,14524,344,15096640,6793233,4579469,0,0,0,0,0,0
01/01/2022,Tamil Nadu,83258886,2526481,1888,49800918,33457968,40371652,42870667,16567,10101447,73063949,93490,816,48712857,21874723,12671306,0,0,0,0,0,0
01/01/2022,Jharkhand,29780147,1105449,1604,18551678,11228469,15242433,14530716,6998,3907231,25863144,9772,1825,19154521,6691440,3934186,0,0,0,0,0,0
01/01/2022,Tripura,4702403,237402,551,2570202,2132201,2390700,2310974,729,92481,4609922,0,227,2593099,1405389,703915,0,0,0,0,0,0
01/01/2022,Maharashtra,134038726,4018207,7120,80218702,53820024,71748294,62263740,26692,16059897,117724137,254692,5850,78987409,32591741,22459576,0,0,0,0,0,0
01/01/2022,Meghalaya,2118666,615,3,1233760,884906,1098780,1019601,285,0,2118666,0,318,1458439,478002,182225,0,0,0,0,0,0
01/01/2022,Manipur,2316108,11428,22,1325024,991084,1202570,1112953,585,0,2313964,2144,161,1406977,585115,324016,0,0,0,0,0,0
01/02/2021,Meghalaya,3317,144,53,3317,0,0,0,0,0,3317,0,0,0,0,0,0,0,0,1147,2170,0
